Row ID;Order ID;Order Date;Order Priority;Order Quantity;Sales;Discount;Ship Mode;Profit;Unit Price;Shipping Cost;Customer Name;Product Name;Ship Date
1;3;2010-10-13;Low;6;261.54;0.04;Regular Air;-213.25;38.94;35;Muhammed MacIntyre;Eldon Base for stackable storage shelf. platinum;2010-10-20
49;293;2012-10-01;High;49;10123.02;0.07;Delivery Truck;457.81;208.16;68.02;Barry French;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";2012-10-02
50;293;2012-10-01;High;27;244.57;0.01;Regular Air;46.71;8.69;2.99;Barry French;Cardinal Slant-DÆ Ring Binder. Heavy Gauge Vinyl;2012-10-03
80;483;2011-07-10;High;30;4965.7595;0.08;Regular Air;1198.97;195.99;3.99;Clay Rozendal;R380;2011-07-12
85;515;2010-08-28;Not Specified;19;394.27;0.08;Regular Air;30.94;21.78;5.94;Carlos Soltero;Holmes HEPA Air Purifier;2010-08-30
86;515;2010-08-28;Not Specified;21;146.69;0.05;Regular Air;4.43;6.64;4.95;Carlos Soltero;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;2010-08-30
97;613;2011-06-17;High;12;93.54;0.03;Regular Air;-54.04;7.3;7.72;Carl Jackson;Angle-D Binders with Locking Rings. Label Holders;2011-06-17
98;613;2011-06-17;High;22;905.08;0.09;Regular Air;127.7;42.76;6.22;Carl Jackson;SAFCO Mobile Desk Side File. Wire Frame;2011-06-18
103;643;2011-03-24;High;21;2781.82;0.07;Express Air;-695.26;138.14;35;Monica Federle;SAFCO Commercial Wire Shelving. Black;2011-03-25
107;678;2010-02-26;Low;44;228.41;0.07;Regular Air;-226.36;4.98;8.33;Dorothy Badders;Xerox 198;2010-02-26
127;807;2010-11-23;Medium;45;196.85;0.01;Regular Air;-166.85;4.28;6.18;Neola Schneider;Xerox 1980;2010-11-24
128;807;2010-11-23;Medium;32;124.56;0.04;Regular Air;-14.33;3.95;2;Neola Schneider;Advantus Map Pennant Flags and Round Head Tacks;2010-11-24
134;868;2012-06-08;Not Specified;32;716.84;0;Regular Air;134.72;21.78;5.94;Carlos Daly;Holmes HEPA Air Purifier;2012-06-09
135;868;2012-06-08;Not Specified;31;1474.33;0.04;Regular Air;114.46;47.98;3.61;Carlos Daly;DS/HD IBM Formatted Diskettes. 200/Pack - Staples;2012-06-10
149;933;2012-08-04;Not Specified;15;80.61;0.02;Regular Air;-4.72;5.28;2.99;Claudia Miner;"Wilson Jones 1"" Hanging DublLock� Ring Binders";2012-08-04
160;995;2011-05-30;Medium;46;1815.49;0.03;Regular Air;782.91;39.89;3.04;Neola Schneider;Ultra Commercial Grade Dual Valve Door Closer;2011-05-31
161;998;2009-11-25;Not Specified;16;248.26;0.07;Regular Air;93.8;15.74;1.39;Allen Rosenblatt;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";2009-11-26
175;1154;2012-02-14;Critical;44;4462.23;0.04;Delivery Truck;440.72;100.98;26.22;Sylvia Foulston;Hon 4-Shelf Metal Bookcases;2012-02-16
176;1154;2012-02-14;Critical;11;663.784;0.25;Regular Air;-481.04;71.37;69;Sylvia Foulston;Lesro Sheffield Collection Coffee Table. End Table. Center Table. Corner Table;2012-02-16
203;1344;2012-04-15;Low;15;834.904;0.06;Regular Air;-11.68;65.99;5.26;Jim Radford;g520;2012-04-22
204;1344;2012-04-15;Low;18;2480.9205;0.01;Regular Air;313.58;155.99;8.99;Jim Radford;LX 788;2012-04-19
213;1412;2010-03-12;Not Specified;13;59.03;0.1;Express Air;26.92;3.69;0.5;Carlos Soltero;Avery 52;2010-03-14
214;1412;2010-03-12;Not Specified;21;97.48;0.05;Regular Air;-5.77;4.71;0.7;Carlos Soltero;Plymouth Boxed Rubber Bands by Plymouth;2010-03-14
229;1539;2011-03-09;Low;33;511.83;0.1;Regular Air;-172.88;15.99;13.18;Carl Ludwig;"GBC Pre-Punched Binding Paper. Plastic. White. 8-1/2"" x 11""";2011-03-11
230;1539;2011-03-09;Low;38;184.99;0.05;Regular Air;-144.55;4.89;4.93;Carl Ludwig;"Maxell 3.5"" DS/HD IBM-Formatted Diskettes. 10/Pack";2011-03-14
231;1540;2012-08-04;High;30;80.9;0.09;Regular Air;5.76;2.88;0.7;Don Miller;Newell 335;2012-08-06
249;1702;2011-05-06;High;23;67.24;0.06;Regular Air;4.9;2.84;0.93;Annie Cyprus;SANFORD Liquid Accent� Tank-Style Highlighters;2011-05-07
250;1761;2010-12-23;High;25;12028.23;0.01;Delivery Truck;-547.61;449.99;49;Carl Ludwig;Canon PC940 Copier;2010-12-25
256;1792;2010-11-08;Low;28;370.48;0.04;Regular Air;-5.45;13.48;4.51;Carlos Soltero;Tenex Personal Project File with Scoop Front Design. Black;2010-11-13
330;2275;2012-10-21;Not Specified;49;278;0.08;Regular Air;41.67;6.08;1.17;Grant Carroll;Col-Erase� Pencils with Erasers;2012-10-22
331;2277;2011-01-01;Not Specified;10;66.54;0.01;Regular Air;-46.03;5.98;4.38;Don Miller;"Imation 3.5"" DS/HD IBM Formatted Diskettes. 10/Pack";2011-01-02
332;2277;2011-01-01;Not Specified;21;845.32;0.06;Regular Air;33.67;40.99;19.99;Don Miller;White Dual Perf Computer Printout Paper. 2700 Sheets. 1 Part. Heavyweight. 20 lbs.. 14 7/8 x 11;2011-01-03
362;2532;2011-10-10;High;39;282.07;0.03;Regular Air;140.01;7.31;0.49;Alan Barnes;Self-Adhesive Address Labels for Typewriters by Universal;2011-10-11
363;2532;2011-10-10;High;24;426.037;0.01;Regular Air;-78.96;20.99;2.5;Alan Barnes;Accessory37;2011-10-11
